==========
Args:Namespace(arch='resnet50', batch_size=64, clustering='Kmeans', data_dir='/home/ljw/cluster-contrast/data', dataset='veri', dropout=0, epochs=50, eps=0.7, eps_gap=0.02, eval_step=10, features=0, height=224, iters=400, k1=30, k2=6, logs_dir='/home/ljw/cluster-contrast/logs', lr=0.00035, momentum=0.1, nmb_cluster=800, num_instances=16, pooling_type='gem', print_freq=10, seed=1, step_size=20, temp=0.05, use_hard=True, verbose=False, weight_decay=0.0005, width=224, workers=4)
==========
==> Load unlabeled dataset
self.dataset_dir  /home/ljw/datasets/VeRi
=> VeRi loaded
Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
pooling_type: gem
==> Create pseudo labels for unlabeled data
k-means time: 3 s
num_cluster  800
init---
==> Statistics for epoch 0: 800 clusters
Epoch: [0][10/400]	Time 0.296 (0.468)	Data 0.000 (0.032)	Loss 6.629 (6.596)
Epoch: [0][20/400]	Time 0.297 (0.382)	Data 0.000 (0.016)	Loss 6.735 (6.642)
Epoch: [0][30/400]	Time 0.296 (0.354)	Data 0.000 (0.011)	Loss 6.784 (6.695)
Epoch: [0][40/400]	Time 0.297 (0.339)	Data 0.000 (0.008)	Loss 6.731 (6.719)
Epoch: [0][50/400]	Time 0.297 (0.331)	Data 0.000 (0.006)	Loss 6.699 (6.732)
Epoch: [0][60/400]	Time 0.296 (0.325)	Data 0.000 (0.005)	Loss 6.543 (6.732)
Epoch: [0][70/400]	Time 0.301 (0.321)	Data 0.000 (0.005)	Loss 6.637 (6.740)
Epoch: [0][80/400]	Time 0.297 (0.318)	Data 0.000 (0.004)	Loss 7.012 (6.740)
Epoch: [0][90/400]	Time 0.296 (0.316)	Data 0.000 (0.004)	Loss 6.945 (6.734)
Epoch: [0][100/400]	Time 0.297 (0.314)	Data 0.000 (0.003)	Loss 6.624 (6.739)
Epoch: [0][110/400]	Time 0.297 (0.312)	Data 0.000 (0.003)	Loss 6.627 (6.738)
Epoch: [0][120/400]	Time 0.295 (0.311)	Data 0.000 (0.003)	Loss 6.660 (6.741)
Epoch: [0][130/400]	Time 0.296 (0.310)	Data 0.000 (0.003)	Loss 6.687 (6.739)
Epoch: [0][140/400]	Time 0.297 (0.309)	Data 0.000 (0.002)	Loss 6.889 (6.736)
Epoch: [0][150/400]	Time 0.296 (0.308)	Data 0.000 (0.002)	Loss 6.636 (6.740)
Epoch: [0][160/400]	Time 0.297 (0.307)	Data 0.000 (0.002)	Loss 6.719 (6.742)
Epoch: [0][170/400]	Time 0.297 (0.307)	Data 0.000 (0.002)	Loss 6.662 (6.740)
Epoch: [0][180/400]	Time 0.297 (0.306)	Data 0.000 (0.002)	Loss 6.850 (6.743)
Epoch: [0][190/400]	Time 0.296 (0.306)	Data 0.000 (0.002)	Loss 6.655 (6.740)
Epoch: [0][200/400]	Time 0.295 (0.305)	Data 0.000 (0.002)	Loss 6.806 (6.737)
Epoch: [0][210/400]	Time 0.298 (0.308)	Data 0.000 (0.005)	Loss 6.625 (6.723)
Epoch: [0][220/400]	Time 0.297 (0.308)	Data 0.000 (0.005)	Loss 6.171 (6.709)
Epoch: [0][230/400]	Time 0.299 (0.307)	Data 0.000 (0.004)	Loss 6.915 (6.711)
Epoch: [0][240/400]	Time 0.296 (0.307)	Data 0.000 (0.004)	Loss 6.953 (6.716)
Epoch: [0][250/400]	Time 0.297 (0.306)	Data 0.000 (0.004)	Loss 7.321 (6.725)
Epoch: [0][260/400]	Time 0.296 (0.306)	Data 0.000 (0.004)	Loss 7.090 (6.737)
Epoch: [0][270/400]	Time 0.298 (0.306)	Data 0.000 (0.004)	Loss 7.262 (6.747)
Epoch: [0][280/400]	Time 0.296 (0.305)	Data 0.000 (0.004)	Loss 7.212 (6.755)
Epoch: [0][290/400]	Time 0.306 (0.305)	Data 0.000 (0.003)	Loss 6.943 (6.763)
Epoch: [0][300/400]	Time 0.305 (0.305)	Data 0.000 (0.003)	Loss 6.495 (6.766)
Epoch: [0][310/400]	Time 0.304 (0.305)	Data 0.000 (0.003)	Loss 7.220 (6.774)
Epoch: [0][320/400]	Time 0.311 (0.305)	Data 0.000 (0.003)	Loss 7.148 (6.786)
Epoch: [0][330/400]	Time 0.314 (0.306)	Data 0.000 (0.003)	Loss 6.791 (6.795)
Epoch: [0][340/400]	Time 0.314 (0.306)	Data 0.000 (0.003)	Loss 7.070 (6.799)
Epoch: [0][350/400]	Time 0.312 (0.306)	Data 0.000 (0.003)	Loss 6.905 (6.809)
Epoch: [0][360/400]	Time 0.314 (0.306)	Data 0.000 (0.003)	Loss 7.023 (6.811)
Epoch: [0][370/400]	Time 0.313 (0.306)	Data 0.000 (0.003)	Loss 7.050 (6.812)
Epoch: [0][380/400]	Time 0.313 (0.307)	Data 0.000 (0.003)	Loss 6.700 (6.814)
Epoch: [0][390/400]	Time 0.312 (0.307)	Data 0.000 (0.003)	Loss 7.333 (6.818)
Epoch: [0][400/400]	Time 0.313 (0.307)	Data 0.000 (0.003)	Loss 6.957 (6.820)
==> Create pseudo labels for unlabeled data
k-means time: 2 s
num_cluster  800
init---
==> Statistics for epoch 1: 800 clusters
Epoch: [1][10/400]	Time 0.316 (0.348)	Data 0.000 (0.035)	Loss 5.926 (5.471)
Epoch: [1][20/400]	Time 0.313 (0.331)	Data 0.000 (0.018)	Loss 5.108 (5.609)
Epoch: [1][30/400]	Time 0.316 (0.326)	Data 0.000 (0.012)	Loss 5.301 (5.670)
Epoch: [1][40/400]	Time 0.314 (0.323)	Data 0.000 (0.009)	Loss 4.980 (5.776)
Epoch: [1][50/400]	Time 0.315 (0.321)	Data 0.000 (0.007)	Loss 5.714 (5.801)
Epoch: [1][60/400]	Time 0.313 (0.320)	Data 0.000 (0.006)	Loss 6.391 (5.827)
Epoch: [1][70/400]	Time 0.318 (0.320)	Data 0.000 (0.005)	Loss 5.755 (5.872)
Epoch: [1][80/400]	Time 0.319 (0.319)	Data 0.000 (0.004)	Loss 5.449 (5.884)
Epoch: [1][90/400]	Time 0.315 (0.319)	Data 0.000 (0.004)	Loss 6.221 (5.871)
Epoch: [1][100/400]	Time 0.321 (0.319)	Data 0.000 (0.004)	Loss 7.188 (5.875)
Epoch: [1][110/400]	Time 0.319 (0.319)	Data 0.000 (0.003)	Loss 6.213 (5.884)
Epoch: [1][120/400]	Time 0.317 (0.319)	Data 0.000 (0.003)	Loss 5.406 (5.890)
Epoch: [1][130/400]	Time 0.319 (0.319)	Data 0.000 (0.003)	Loss 5.238 (5.881)
Epoch: [1][140/400]	Time 0.318 (0.319)	Data 0.000 (0.003)	Loss 5.762 (5.868)
Epoch: [1][150/400]	Time 0.321 (0.319)	Data 0.000 (0.002)	Loss 5.490 (5.848)
Epoch: [1][160/400]	Time 0.319 (0.319)	Data 0.000 (0.002)	Loss 6.258 (5.836)
Epoch: [1][170/400]	Time 0.317 (0.319)	Data 0.000 (0.002)	Loss 6.004 (5.830)
